epoch,step,phase,train_loss,loss_sent,loss_prosody,loss_words,loss_phones,val_loss,mae_total,mae_accuracy,mae_fluency,mae_prosodic,mae_completeness,rmse_total,rmse_accuracy,rmse_fluency,rmse_prosodic,rmse_completeness,pearson_total,pearson_accuracy,pearson_fluency,pearson_prosodic,pearson_completeness,spearman_total,spearman_accuracy,spearman_fluency,spearman_prosodic,spearman_completeness
16,end,val,,,,,,0.021658,0.078787,0.081138,0.067691,0.068869,0.485046,0.115713,0.117975,0.096548,0.098695,0.485413,0.682141,0.660849,0.749731,0.747591,0.004088,0.665499,0.627062,0.739614,0.736916,0.027392
17,50,train,0.014227,0.000763,0.000519,0.009808,0.022834,,,,,,,,,,,,,,,,,,,,,
17,100,train,0.013571,0.001048,0.000736,0.000771,0.002911,,,,,,,,,,,,,,,,,,,,,
17,150,train,0.013964,0.001826,0.001037,0.000037,0.000688,,,,,,,,,,,,,,,,,,,,,
17,200,train,0.011601,0.001908,0.001516,0.000783,0.002866,,,,,,,,,,,,,,,,,,,,,
17,250,train,0.010436,0.002612,0.001012,0.004452,0.004505,,,,,,,,,,,,,,,,,,,,,
17,300,train,0.013204,0.001449,0.000627,0.000748,0.002047,,,,,,,,,,,,,,,,,,,,,
17,350,train,0.012327,0.001208,0.000989,0.000043,0.000869,,,,,,,,,,,,,,,,,,,,,
17,400,train,0.013925,0.005515,0.000297,0.004668,0.016883,,,,,,,,,,,,,,,,,,,,,
17,450,train,0.013224,0.000623,0.000674,0.007244,0.004664,,,,,,,,,,,,,,,,,,,,,
17,500,train,0.014204,0.002061,0.001148,0.008934,0.027266,,,,,,,,,,,,,,,,,,,,,
17,550,train,0.011675,0.001775,0.000664,0.000438,0.002979,,,,,,,,,,,,,,,,,,,,,
17,600,train,0.015631,0.002405,0.001196,0.009086,0.026957,,,,,,,,,,,,,,,,,,,,,
17,end,val,,,,,,0.022154,0.080094,0.083167,0.069392,0.070830,0.483033,0.118893,0.120950,0.098639,0.101226,0.483410,0.669781,0.647518,0.732701,0.735109,-0.024373,0.654379,0.610152,0.719866,0.720995,0.011612
18,50,train,0.015020,0.001128,0.001888,0.001900,0.005797,,,,,,,,,,,,,,,,,,,,,
18,100,train,0.012532,0.000804,0.000714,0.003264,0.017576,,,,,,,,,,,,,,,,,,,,,
18,150,train,0.012898,0.001574,0.000746,0.008569,0.015817,,,,,,,,,,,,,,,,,,,,,
18,200,train,0.011383,0.001278,0.000501,0.000107,0.000573,,,,,,,,,,,,,,,,,,,,,
18,250,train,0.010922,0.001502,0.000707,0.000733,0.002385,,,,,,,,,,,,,,,,,,,,,
18,300,train,0.011305,0.003225,0.000456,0.002567,0.002382,,,,,,,,,,,,,,,,,,,,,
18,350,train,0.012329,0.000622,0.000260,0.004229,0.010442,,,,,,,,,,,,,,,,,,,,,
