epoch,step,phase,train_loss,loss_sent,loss_prosody,val_loss,mae_total,mae_accuracy,mae_fluency,mae_prosodic,mae_completeness,rmse_total,rmse_accuracy,rmse_fluency,rmse_prosodic,rmse_completeness,pearson_total,pearson_accuracy,pearson_fluency,pearson_prosodic,pearson_completeness,spearman_total,spearman_accuracy,spearman_fluency,spearman_prosodic,spearman_completeness
20,end,val,,,,0.010414,0.074895,0.080968,0.062296,0.063769,0.622537,0.109345,0.115740,0.089425,0.091153,0.625804,0.730797,0.702944,0.784495,0.777706,-0.034722,0.735984,0.695365,0.790160,0.784173,-0.067094
21,50,train,0.002263,0.002083,0.265095,,,,,,,,,,,,,,,,,,,,,
21,100,train,0.002340,0.002304,0.208362,,,,,,,,,,,,,,,,,,,,,
21,150,train,0.002415,0.002849,0.251864,,,,,,,,,,,,,,,,,,,,,
21,200,train,0.002413,0.003111,0.251230,,,,,,,,,,,,,,,,,,,,,
21,250,train,0.002394,0.003298,0.248446,,,,,,,,,,,,,,,,,,,,,
21,300,train,0.002277,0.003174,0.271836,,,,,,,,,,,,,,,,,,,,,
21,350,train,0.002447,0.002833,0.253034,,,,,,,,,,,,,,,,,,,,,
21,400,train,0.002232,0.002996,0.255031,,,,,,,,,,,,,,,,,,,,,
21,450,train,0.002078,0.002075,0.194823,,,,,,,,,,,,,,,,,,,,,
21,500,train,0.002167,0.000843,0.217269,,,,,,,,,,,,,,,,,,,,,
21,550,train,0.002445,0.001612,0.202158,,,,,,,,,,,,,,,,,,,,,
21,600,train,0.002620,0.002113,0.258405,,,,,,,,,,,,,,,,,,,,,
21,end,val,,,,0.010605,0.077235,0.080997,0.062101,0.062861,0.615754,0.112950,0.115795,0.089553,0.090750,0.618701,0.729163,0.706106,0.779854,0.776948,-0.021373,0.735808,0.697181,0.789627,0.784294,-0.055641
22,50,train,0.002633,0.001881,0.207775,,,,,,,,,,,,,,,,,,,,,
